Actual,Predicted
684366049.4995425,684340364.4252365
427487044.8873603,427474293.68835694
384265375.5663526,384260601.13832545
288313223.6130242,288321365.2566593
231839350.49794912,231832888.15824714
174462600.272292,174458444.641908
179404557.8202022,179411920.26227704
245833778.11221045,245827560.504905
311859082.1856672,311833306.90705115
44641321.24661729,44633006.6178954
181312621.7297144,181304134.31602898
299951707.7737983,299950008.8907513
439742354.9445453,439742512.14655805
642230902.6354095,642732590.0887274
219636430.47290412,219502605.50168774
186778774.087188,186781486.15915844
889394279.3583539,889212648.126615
532302658.0579198,532753841.7676163
321326400.2220632,321346677.8091251
67888552.58848192,67794482.28891379
367272624.7397933,367316272.6877368
315430911.3117271,315462771.81982154
413997677.8311247,414001105.770512
47700479.86227117,47701755.66826285
137391787.88556743,137377197.67887643
97201266.40673617,97192530.09967314
439262565.0966331,439306034.99653894
373577954.5509844,373581313.19029474
391172378.5203906,391157563.1226232
32547856.77963142,32600901.97055508
431154871.3483985,431159074.7908191
331572348.80528915,331574679.4666983
459301255.71375775,459293768.6718126
293367715.10592926,293373973.3152089
543384427.0736264,543371258.8167719
236243501.52002287,236325769.53469926
69469152.69138494,69987485.74066289
144899066.5725831,144913415.78444335
295626522.08585155,296041332.55880445
30960030.64497292,32908482.05766202
861034587.5083303,861083640.3260605
382924122.0327212,382938136.0082435
207634214.8856817,207625502.72129756
28320134.28500198,28317056.231840733
226887725.97438207,226698723.63060424
35367235.39001595,35359061.657755926
135363182.27968937,135362273.4914845
279608329.3588349,279608224.49278474
154567531.83705768,155333815.80295438
325058806.64062214,325068316.4198371
535222800.247253,535151608.8496902
162541382.2587915,162545117.79955292
96299475.6494546,96379460.81637333
457211630.8412621,457216477.11772275
294828186.0265774,294827338.2779506
139124855.1330355,139131128.03732055
110772225.09715736,110797890.07321261
811598299.6341236,810902360.3974946
377895999.71219134,377757965.0828674
286412859.1230788,286149933.30866903
64150148.08146494,64138301.90053976
776664222.4819131,776438172.8146133
269514268.32239175,269578741.7031996
353145304.534309,353280611.7002913
259351501.53829268,259343651.89247453
420476456.4198384,420163159.08326495
266095777.03235835,266457748.92603815
183321880.868362,183141659.53074738
428416624.7399761,428379009.7168729
565984801.2014359,565948171.4142106
361188028.9672204,361196118.25082046
252704054.29594788,252692456.46054435
97153622.43400577,97265351.49319078
608486747.3337607,608267472.7155943
561487418.0594546,561465625.2161438
72132550.75427993,72144532.57153839
299968591.9617299,299974546.81348985
834913338.3317833,829762648.500104
243963632.7503392,243795538.51203075
159628995.99580997,159689228.39865676
